city_en,city_cn,aqi,pm25,pm10,o3,no2,so2,co,dominent,update_time,fetch_time,level,color
wuhan,武汉,190,190,101,,27.5,4.6,10.0,pm25,2025-12-11 07:00:00,2025-12-11 08:22:45,中度污染,#ff0000
xian,西安,187,187,108,11.8,16.5,3.1,10.0,pm25,2025-12-11 07:00:00,2025-12-11 08:22:47,中度污染,#ff0000
jinan,济南,183,183,116,4.5,20.6,0.6,0.1,pm25,2025-12-11 07:00:00,2025-12-11 08:22:51,中度污染,#ff0000
shijiazhuang,石家庄,177,177,108,1.7,32.0,3.1,10.9,pm25,2025-12-11 07:00:00,2025-12-11 08:22:50,中度污染,#ff0000
changsha,长沙,176,176,93,4.5,27.9,0.6,9.1,pm25,2025-12-11 07:00:00,2025-12-11 08:22:48,中度污染,#ff0000
nanjing,南京,175,175,90,0.9,37.5,2.6,14.5,pm25,2025-12-11 07:00:00,2025-12-11 08:22:45,中度污染,#ff0000
chengdu,成都,173,173,87,0.5,26.1,2.1,10.0,pm25,2025-12-11 07:00:00,2025-12-11 08:22:46,中度污染,#ff0000
zhengzhou,郑州,168,168,99,9.0,28.8,5.6,9.1,pm25,2025-12-11 07:00:00,2025-12-11 08:22:47,中度污染,#ff0000
chongqing,重庆,164,164,72,1.3,20.6,5.6,12.7,pm25,2025-12-11 07:00:00,2025-12-11 08:22:42,中度污染,#ff0000
hefei,合肥,163,163,76,1.3,27.0,3.6,10.9,pm25,2025-12-11 07:00:00,2025-12-11 08:22:51,中度污染,#ff0000
shenzhen,深圳,153,153,67,37.8,30.2,3.6,11.8,pm25,2025-12-11 07:00:00,2025-12-11 08:22:43,中度污染,#ff0000
shanghai,上海,147,147,71,2.5,38.4,6.6,13.6,pm25,2025-12-11 07:00:00,2025-12-11 08:22:41,轻度污染,#ff9900
tianjin,天津,117,117,57,27.0,16.5,7.6,8.2,pm25,2025-12-11 07:00:00,2025-12-11 08:22:41,轻度污染,#ff9900
hangzhou,杭州,91,91,38,55.8,6.9,4.6,5.5,pm25,2025-12-11 07:00:00,2025-12-11 08:22:44,良,#ffff00
taiyuan,太原,91,91,54,5.3,22.9,4.1,4.6,pm25,2025-12-11 07:00:00,2025-12-11 08:22:50,良,#ffff00
changchun,长春,57,57,15,15.1,7.4,4.6,2.8,pm25,2025-12-11 07:00:00,2025-12-11 08:22:49,良,#ffff00
beijing,北京,53,53,20,16.7,9.6,2.1,5.5,pm25,2025-12-11 08:00:00,2025-12-11 08:22:40,良,#ffff00
harbin,哈尔滨,30,30,17,12.6,6.0,6.1,4.6,pm25,2025-12-11 07:00:00,2025-12-11 08:22:49,优,#00e400
shenyang,沈阳,17,13,8,17.1,8.7,5.6,2.8,o3,2025-12-11 07:00:00,2025-12-11 08:22:48,优,#00e400
