city,aqi,dominent,time
beijing,78.0,pm25,2025-12-09 00:00:00
shanghai,57.0,pm25,2025-12-09 00:00:00
guangzhou,,,2025-03-04 20:00:00
shenzhen,144.0,pm25,2025-12-09 00:00:00
chengdu,172.0,pm25,2025-12-09 00:00:00
wuhan,191.0,pm25,2025-12-09 00:00:00
xian,171.0,pm25,2025-12-09 00:00:00
nanjing,65.0,pm25,2025-12-09 00:00:00
tianjin,72.0,pm25,2025-12-09 00:00:00
hangzhou,57.0,pm25,2025-12-09 00:00:00
chongqing,158.0,pm25,2025-12-09 00:00:00
suzhou,53.0,pm25,2025-12-09 00:00:00
qingdao,61.0,pm25,2025-12-09 00:00:00
zhengzhou,173.0,pm25,2025-12-09 00:00:00
changsha,173.0,pm25,2025-12-09 00:00:00
shenyang,102.0,pm25,2025-12-09 00:00:00
kunming,78.0,pm25,2025-12-09 00:00:00
fuzhou,99.0,pm25,2025-12-09 00:00:00
harbin,102.0,pm25,2025-12-09 00:00:00
urumqi,152.0,pm25,2025-12-09 00:00:00
hongkong,157.0,pm25,2025-12-09 00:00:00
macau,151.0,pm25,2025-12-09 00:00:00
